v1
0.8.0-synthetic
---------------------SYSTEM INFO---------------------
os,cpu,gpu,ram,kernel,driver,cpuscheduler
Synthetic Linux (stutterscope demo data),Synthetic CPU,Synthetic GPU,32 GB,6.9.0,1.0.0,schedutil
--------------------FRAME METRICS--------------------
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
60.08,16.643,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,565619759
60.14,16.628,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,582247268
60.25,16.598,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,598845267
59.72,16.746,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,615591320
59.85,16.707,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,632298470
60.20,16.611,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,648909745
60.47,16.538,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,665447653
60.22,16.605,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,682052550
60.54,16.519,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,698571596
59.86,16.707,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,715278356
59.40,16.835,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,732113196
60.82,16.443,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,748556456
59.97,16.675,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,765231624
60.62,16.497,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,781728411
59.35,16.850,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,798578302
60.17,16.619,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,815197103
59.60,16.779,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,831976531
59.43,16.825,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,848801785
60.46,16.539,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,865340443
60.39,16.560,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,881900623
59.86,16.706,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,898606228
60.45,16.542,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,915148627
60.36,16.568,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,931716961
60.43,16.547,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,948264413
60.58,16.506,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,964770340
61.10,16.367,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,981137484
60.08,16.644,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,997781087
60.19,16.613,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1014394554
60.33,16.576,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1030970900
59.65,16.764,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1047734513
59.53,16.797,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1064531450
59.88,16.699,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1081230530
59.70,16.750,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1097980635
59.40,16.835,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1114815273
59.56,16.791,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1131606432
60.62,16.497,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1148103812
59.69,16.752,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1164856030
58.75,17.022,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1181878196
59.34,16.853,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1198731425
60.27,16.592,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1215323024
59.19,16.894,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1232216797
60.71,16.471,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1248687786
60.66,16.485,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1265172571
60.38,16.561,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1281733891
59.35,16.849,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1298583171
59.99,16.670,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1315252969
60.44,16.546,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1331798894
60.95,16.408,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1348206530
59.55,16.792,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1364998963
59.94,16.684,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1381683286
59.02,16.945,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1398628019
59.70,16.749,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1415377140
60.12,16.634,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1432010676
60.55,16.516,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1448527147
59.04,16.936,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1465463537
59.99,16.669,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1482132431
59.50,16.806,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1498938923
59.15,16.907,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1515845720
60.15,16.624,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1532469582
60.30,16.583,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1549052932
60.13,16.630,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1565682888
60.61,16.500,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1582183113
60.23,16.602,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1598784809
60.62,16.496,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1615281277
59.77,16.732,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1632013137
60.42,16.551,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1648563767
59.54,16.795,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1665358313
60.54,16.518,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1681876636
60.40,16.556,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1698432862
59.48,16.813,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1715246266
59.33,16.856,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1732101976
60.30,16.584,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1748686011
61.09,16.370,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1765056174
60.27,16.593,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1781649399
60.44,16.545,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1798194642
60.33,16.574,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1814768783
60.06,16.649,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1831417710
58.18,17.187,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1848605110
60.25,16.597,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1865201624
60.19,16.613,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1881814618
59.77,16.729,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1898544103
59.86,16.706,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1915250211
59.99,16.671,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1931920875
60.36,16.568,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1948488876
60.36,16.568,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1965056874
61.02,16.389,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1981445676
59.12,16.914,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,1998359435
60.11,16.635,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2014994383
58.75,17.020,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2032014698
60.74,16.465,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2048479261
60.01,16.663,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2065142410
59.81,16.718,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2081860691
59.95,16.680,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2098540977
58.67,17.044,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2115585021
59.67,16.757,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2132342484
60.67,16.482,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2148824465
60.32,16.577,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2165401650
60.61,16.498,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2181899989
60.15,16.624,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2198523779
59.53,16.798,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2215322027
60.52,16.524,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2231846426
59.72,16.746,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2248592437
59.52,16.802,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2265393962
60.62,16.495,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2281889260
59.91,16.693,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2298582141
60.50,16.530,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2315112115
59.78,16.728,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2331840120
60.58,16.508,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2348347935
59.65,16.764,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2365112289
61.02,16.388,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2381499876
60.43,16.549,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2398048630
60.60,16.501,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2414549172
59.83,16.714,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2431263365
60.96,16.405,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2447668081
60.04,16.654,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2464322365
60.59,16.505,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2480827244
59.99,16.668,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2497495420
59.67,16.758,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2514252924
60.28,16.590,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2530843111
60.40,16.555,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2547398216
60.39,16.558,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2563956595
59.64,16.766,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2580722538
60.09,16.642,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2597364793
58.94,16.965,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2614329897
60.78,16.452,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2630781967
59.69,16.753,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2647534701
59.50,16.806,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2664340649
60.66,16.486,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2680826408
60.74,16.463,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2697289036
60.04,16.657,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2713945726
58.08,17.217,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2731162779
59.41,16.832,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2747994595
59.92,16.688,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2764682904
59.32,16.858,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2781540487
59.48,16.811,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2798351691
59.41,16.831,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2815183040
60.02,16.662,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2831844780
60.26,16.596,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2848440716
60.11,16.635,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2865075954
60.21,16.608,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2881683884
60.33,16.575,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2898259131
60.30,16.584,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2914842897
60.57,16.511,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2931354062
59.86,16.707,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2948061069
59.55,16.793,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2964854153
59.76,16.735,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2981589102
60.09,16.642,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,2998231406
61.31,16.310,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3014541850
60.05,16.653,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3031194631
59.66,16.763,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3047957326
60.08,16.644,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3064601569
60.23,16.604,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3081205073
60.20,16.610,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3097815368
60.30,16.584,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3114398922
60.40,16.557,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3130956057
60.53,16.519,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3147475474
59.21,16.890,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3164365691
60.91,16.418,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3180783521
59.08,16.927,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3197710192
60.09,16.642,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3214352317
60.33,16.574,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3230926591
59.19,16.894,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3247820187
59.59,16.782,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3264601909
59.66,16.762,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3281364356
60.28,16.588,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3297952578
59.90,16.694,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3314646384
60.43,16.547,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3331193539
59.60,16.780,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3347973090
59.75,16.736,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3364709260
60.18,16.616,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3381325679
60.09,16.640,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3397966005
60.20,16.612,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3414578190
59.95,16.680,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3431258028
59.01,16.947,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3448204771
60.43,16.547,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3464751846
59.77,16.731,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3481482510
59.59,16.781,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3498263830
58.76,17.019,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3515283162
60.12,16.633,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3531915945
59.82,16.716,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3548631694
60.56,16.514,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3565145207
59.82,16.718,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3581862979
60.06,16.651,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3598513617
60.12,16.634,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3615147425
60.17,16.619,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3631766488
60.12,16.632,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3648398569
59.68,16.757,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3665155555
61.30,16.312,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3681467548
59.35,16.850,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3698317592
59.55,16.792,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3715109871
60.99,16.395,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3731505034
59.52,16.800,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3748305027
60.37,16.564,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3764868997
60.86,16.431,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3781300434
60.44,16.547,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3797847131
58.93,16.968,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3814815011
60.41,16.554,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3831369377
59.62,16.772,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3848140978
59.62,16.773,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3864913545
59.82,16.716,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3881629746
60.54,16.517,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3898146558
60.35,16.570,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3914716778
59.95,16.680,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3931396304
59.28,16.870,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3948266547
60.60,16.501,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3964768022
59.68,16.757,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3981524574
59.28,16.869,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,3998393865
59.21,16.889,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4015282960
60.06,16.650,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4031933458
60.27,16.592,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4048525467
60.09,16.642,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4065167466
60.87,16.428,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4081595105
60.28,16.589,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4098184256
61.28,16.320,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4114503856
59.68,16.757,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4131260618
59.76,16.734,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4147994302
59.86,16.707,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4164700803
59.41,16.832,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4181532725
61.24,16.330,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4197862989
61.31,16.310,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4214172962
60.19,16.613,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4230785711
60.47,16.537,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4247322218
60.32,16.579,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4263901547
59.82,16.717,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4280618181
60.50,16.528,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4297145882
60.21,16.608,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4313753836
59.08,16.927,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4330680694
61.15,16.354,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,4347034642
