Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),CPUClk(MHz),CPUUtil(%)
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.349438,16.739,16.739,0.335,16.739,16.739,33.503,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.366160,16.722,16.722,0.334,16.722,16.722,33.337,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.382764,16.604,16.604,0.332,16.604,16.604,33.886,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.399365,16.601,16.601,0.332,16.601,16.601,33.846,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.416180,16.815,16.815,0.336,16.815,16.815,32.484,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.432684,16.505,16.505,0.330,16.505,16.505,31.502,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.449281,16.596,16.596,0.332,16.596,16.596,31.941,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.465994,16.713,16.713,0.334,16.713,16.713,33.234,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.482618,16.625,16.625,0.332,16.625,16.625,32.919,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.499267,16.648,16.648,0.333,16.648,16.648,34.231,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.515931,16.664,16.664,0.333,16.664,16.664,33.151,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.532235,16.305,16.305,0.326,16.305,16.305,32.805,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.548976,16.741,16.741,0.335,16.741,16.741,34.238,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.565620,16.643,16.643,0.333,16.643,16.643,32.264,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.582247,16.628,16.628,0.333,16.628,16.628,35.291,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.598845,16.598,16.598,0.332,16.598,16.598,32.491,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.615591,16.746,16.746,0.335,16.746,16.746,33.568,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.632298,16.707,16.707,0.334,16.707,16.707,34.139,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.648910,16.611,16.611,0.332,16.611,16.611,33.698,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.665448,16.538,16.538,0.331,16.538,16.538,33.025,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.682053,16.605,16.605,0.332,16.605,16.605,32.810,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.698572,16.519,16.519,0.330,16.519,16.519,32.415,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.715278,16.707,16.707,0.334,16.707,16.707,35.422,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.732113,16.835,16.835,0.337,16.835,16.835,33.955,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.748556,16.443,16.443,0.329,16.443,16.443,32.565,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.765232,16.675,16.675,0.334,16.675,16.675,31.568,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.781728,16.497,16.497,0.330,16.497,16.497,32.796,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.798578,16.850,16.850,0.337,16.850,16.850,32.517,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.815197,16.619,16.619,0.332,16.619,16.619,34.663,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.831977,16.779,16.779,0.336,16.779,16.779,34.186,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.848802,16.825,16.825,0.337,16.825,16.825,32.761,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.865340,16.539,16.539,0.331,16.539,16.539,32.572,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.881901,16.560,16.560,0.331,16.560,16.560,32.753,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.898606,16.706,16.706,0.334,16.706,16.706,32.582,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.915149,16.542,16.542,0.331,16.542,16.542,33.935,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.931717,16.568,16.568,0.331,16.568,16.568,31.477,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.948264,16.547,16.547,0.331,16.547,16.547,34.048,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.964770,16.506,16.506,0.330,16.506,16.506,33.098,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.981137,16.367,16.367,0.327,16.367,16.367,31.730,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.997781,16.644,16.644,0.333,16.644,16.644,32.707,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.014395,16.613,16.613,0.332,16.613,16.613,32.454,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.030971,16.576,16.576,0.332,16.576,16.576,34.033,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.047735,16.764,16.764,0.335,16.764,16.764,32.292,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.064531,16.797,16.797,0.336,16.797,16.797,32.339,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.081231,16.699,16.699,0.334,16.699,16.699,32.650,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.097981,16.750,16.750,0.335,16.750,16.750,33.036,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.114815,16.835,16.835,0.337,16.835,16.835,34.367,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.131606,16.791,16.791,0.336,16.791,16.791,34.546,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.148104,16.497,16.497,0.330,16.497,16.497,34.046,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.164856,16.752,16.752,0.335,16.752,16.752,33.087,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.181878,17.022,17.022,0.340,17.022,17.022,34.675,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.198731,16.853,16.853,0.337,16.853,16.853,33.095,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.215323,16.592,16.592,0.332,16.592,16.592,33.636,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.232217,16.894,16.894,0.338,16.894,16.894,33.290,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.248688,16.471,16.471,0.329,16.471,16.471,33.152,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.265173,16.485,16.485,0.330,16.485,16.485,32.659,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.281734,16.561,16.561,0.331,16.561,16.561,31.935,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.298583,16.849,16.849,0.337,16.849,16.849,33.590,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.315253,16.670,16.670,0.333,16.670,16.670,33.501,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.331799,16.546,16.546,0.331,16.546,16.546,31.050,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.348207,16.408,16.408,0.328,16.408,16.408,33.238,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.364999,16.792,16.792,0.336,16.792,16.792,33.532,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.381683,16.684,16.684,0.334,16.684,16.684,33.965,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.398628,16.945,16.945,0.339,16.945,16.945,34.149,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.415377,16.749,16.749,0.335,16.749,16.749,34.046,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.432011,16.634,16.634,0.333,16.634,16.634,33.354,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.448527,16.516,16.516,0.330,16.516,16.516,33.460,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.465464,16.936,16.936,0.339,16.936,16.936,33.980,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.482132,16.669,16.669,0.333,16.669,16.669,32.720,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.498939,16.806,16.806,0.336,16.806,16.806,33.900,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.515846,16.907,16.907,0.338,16.907,16.907,31.832,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.532470,16.624,16.624,0.332,16.624,16.624,34.085,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.549053,16.583,16.583,0.332,16.583,16.583,33.757,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.565683,16.630,16.630,0.333,16.630,16.630,35.590,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.582183,16.500,16.500,0.330,16.500,16.500,32.006,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.598785,16.602,16.602,0.332,16.602,16.602,33.053,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.615281,16.496,16.496,0.330,16.496,16.496,34.216,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.632013,16.732,16.732,0.335,16.732,16.732,35.173,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.648564,16.551,16.551,0.331,16.551,16.551,33.929,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.665358,16.795,16.795,0.336,16.795,16.795,35.105,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.681877,16.518,16.518,0.330,16.518,16.518,32.708,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.698433,16.556,16.556,0.331,16.556,16.556,34.507,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.715246,16.813,16.813,0.336,16.813,16.813,33.942,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.732102,16.856,16.856,0.337,16.856,16.856,32.269,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.748686,16.584,16.584,0.332,16.584,16.584,31.184,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,1.765056,16.370,16.370,0.327,16.370,16.370,33.913,1800,9500,45,62,4200,35
