Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange,msFlipDelay,msUntilRenderStart,msGPUActive,msGPUVideoActive,msSinceInput,QPCTime
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.416180,0.336,16.815,0,Hardware: Independent Flip,6.810,16.815,16.815,0.000,-1.681,7.567,0.000,0.000,240000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.432684,0.330,16.505,0,Hardware: Independent Flip,6.684,16.505,16.505,0.000,-1.650,7.427,0.000,0.000,250000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.449281,0.332,16.596,0,Hardware: Independent Flip,6.722,16.596,16.596,0.000,-1.660,7.468,0.000,0.000,260000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.465994,0.334,16.713,0,Hardware: Independent Flip,6.769,16.713,16.713,0.000,-1.671,7.521,0.000,0.000,270000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.482618,0.332,16.625,0,Hardware: Independent Flip,6.733,16.625,16.625,0.000,-1.662,7.481,0.000,0.000,280000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.499267,0.333,16.648,0,Hardware: Independent Flip,6.743,16.648,16.648,0.000,-1.665,7.492,0.000,0.000,290000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.515931,0.333,16.664,0,Hardware: Independent Flip,6.749,16.664,16.664,0.000,-1.666,7.499,0.000,0.000,300000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.532235,0.326,16.305,0,Hardware: Independent Flip,6.603,16.305,16.305,0.000,-1.630,7.337,0.000,0.000,310000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.548976,0.335,16.741,0,Hardware: Independent Flip,6.780,16.741,16.741,0.000,-1.674,7.533,0.000,0.000,320000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.565620,0.333,16.643,0,Hardware: Independent Flip,6.741,16.643,16.643,0.000,-1.664,7.490,0.000,0.000,330000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.582247,0.333,16.628,0,Hardware: Independent Flip,6.734,16.628,16.628,0.000,-1.663,7.482,0.000,0.000,340000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.598845,0.332,16.598,0,Hardware: Independent Flip,6.722,16.598,16.598,0.000,-1.660,7.469,0.000,0.000,350000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.615591,0.335,16.746,0,Hardware: Independent Flip,6.782,16.746,16.746,0.000,-1.675,7.536,0.000,0.000,360000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.632298,0.334,16.707,0,Hardware: Independent Flip,6.766,16.707,16.707,0.000,-1.671,7.518,0.000,0.000,370000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.648910,0.332,16.611,0,Hardware: Independent Flip,6.728,16.611,16.611,0.000,-1.661,7.475,0.000,0.000,380000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.665448,0.331,16.538,0,Hardware: Independent Flip,6.698,16.538,16.538,0.000,-1.654,7.442,0.000,0.000,390000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.682053,0.332,16.605,0,Hardware: Independent Flip,6.725,16.605,16.605,0.000,-1.660,7.472,0.000,0.000,400000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.698572,0.330,16.519,0,Hardware: Independent Flip,6.690,16.519,16.519,0.000,-1.652,7.434,0.000,0.000,410000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.715278,0.334,16.707,0,Hardware: Independent Flip,6.766,16.707,16.707,0.000,-1.671,7.518,0.000,0.000,420000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.732113,0.337,16.835,0,Hardware: Independent Flip,6.818,16.835,16.835,0.000,-1.683,7.576,0.000,0.000,430000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.748556,0.329,16.443,0,Hardware: Independent Flip,6.660,16.443,16.443,0.000,-1.644,7.399,0.000,0.000,440000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.765232,0.334,16.675,0,Hardware: Independent Flip,6.753,16.675,16.675,0.000,-1.668,7.504,0.000,0.000,450000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.781728,0.330,16.497,0,Hardware: Independent Flip,6.681,16.497,16.497,0.000,-1.650,7.424,0.000,0.000,460000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.798578,0.337,16.850,0,Hardware: Independent Flip,6.824,16.850,16.850,0.000,-1.685,7.582,0.000,0.000,470000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.815197,0.332,16.619,0,Hardware: Independent Flip,6.731,16.619,16.619,0.000,-1.662,7.478,0.000,0.000,480000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.831977,0.336,16.779,0,Hardware: Independent Flip,6.796,16.779,16.779,0.000,-1.678,7.551,0.000,0.000,490000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.848802,0.337,16.825,0,Hardware: Independent Flip,6.814,16.825,16.825,0.000,-1.683,7.571,0.000,0.000,500000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.865340,0.331,16.539,0,Hardware: Independent Flip,6.698,16.539,16.539,0.000,-1.654,7.442,0.000,0.000,510000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.881901,0.331,16.560,0,Hardware: Independent Flip,6.707,16.560,16.560,0.000,-1.656,7.452,0.000,0.000,520000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.898606,0.334,16.706,0,Hardware: Independent Flip,6.766,16.706,16.706,0.000,-1.671,7.518,0.000,0.000,530000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.915149,0.331,16.542,0,Hardware: Independent Flip,6.700,16.542,16.542,0.000,-1.654,7.444,0.000,0.000,540000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.931717,0.331,16.568,0,Hardware: Independent Flip,6.710,16.568,16.568,0.000,-1.657,7.456,0.000,0.000,550000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.948264,0.331,16.547,0,Hardware: Independent Flip,6.702,16.547,16.547,0.000,-1.655,7.446,0.000,0.000,560000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.964770,0.330,16.506,0,Hardware: Independent Flip,6.685,16.506,16.506,0.000,-1.651,7.428,0.000,0.000,570000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.981137,0.327,16.367,0,Hardware: Independent Flip,6.629,16.367,16.367,0.000,-1.637,7.365,0.000,0.000,580000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.997781,0.333,16.644,0,Hardware: Independent Flip,6.741,16.644,16.644,0.000,-1.664,7.490,0.000,0.000,590000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.014395,0.332,16.613,0,Hardware: Independent Flip,6.728,16.613,16.613,0.000,-1.661,7.476,0.000,0.000,600000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.030971,0.332,16.576,0,Hardware: Independent Flip,6.713,16.576,16.576,0.000,-1.658,7.459,0.000,0.000,610000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.047735,0.335,16.764,0,Hardware: Independent Flip,6.789,16.764,16.764,0.000,-1.676,7.544,0.000,0.000,620000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.064531,0.336,16.797,0,Hardware: Independent Flip,6.803,16.797,16.797,0.000,-1.680,7.559,0.000,0.000,630000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.081231,0.334,16.699,0,Hardware: Independent Flip,6.763,16.699,16.699,0.000,-1.670,7.515,0.000,0.000,640000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.097981,0.335,16.750,0,Hardware: Independent Flip,6.784,16.750,16.750,0.000,-1.675,7.538,0.000,0.000,650000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.114815,0.337,16.835,0,Hardware: Independent Flip,6.818,16.835,16.835,0.000,-1.683,7.576,0.000,0.000,660000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.131606,0.336,16.791,0,Hardware: Independent Flip,6.800,16.791,16.791,0.000,-1.679,7.556,0.000,0.000,670000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.148104,0.330,16.497,0,Hardware: Independent Flip,6.681,16.497,16.497,0.000,-1.650,7.424,0.000,0.000,680000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.164856,0.335,16.752,0,Hardware: Independent Flip,6.785,16.752,16.752,0.000,-1.675,7.538,0.000,0.000,690000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.181878,0.340,17.022,0,Hardware: Independent Flip,6.894,17.022,17.022,0.000,-1.702,7.660,0.000,0.000,700000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.198731,0.337,16.853,0,Hardware: Independent Flip,6.826,16.853,16.853,0.000,-1.685,7.584,0.000,0.000,710000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.215323,0.332,16.592,0,Hardware: Independent Flip,6.720,16.592,16.592,0.000,-1.659,7.466,0.000,0.000,720000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.232217,0.338,16.894,0,Hardware: Independent Flip,6.842,16.894,16.894,0.000,-1.689,7.602,0.000,0.000,730000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.248688,0.329,16.471,0,Hardware: Independent Flip,6.671,16.471,16.471,0.000,-1.647,7.412,0.000,0.000,740000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.265173,0.330,16.485,0,Hardware: Independent Flip,6.676,16.485,16.485,0.000,-1.648,7.418,0.000,0.000,750000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.281734,0.331,16.561,0,Hardware: Independent Flip,6.707,16.561,16.561,0.000,-1.656,7.453,0.000,0.000,760000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.298583,0.337,16.849,0,Hardware: Independent Flip,6.824,16.849,16.849,0.000,-1.685,7.582,0.000,0.000,770000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.315253,0.333,16.670,0,Hardware: Independent Flip,6.751,16.670,16.670,0.000,-1.667,7.501,0.000,0.000,780000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.331799,0.331,16.546,0,Hardware: Independent Flip,6.701,16.546,16.546,0.000,-1.655,7.446,0.000,0.000,790000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.348207,0.328,16.408,0,Hardware: Independent Flip,6.645,16.408,16.408,0.000,-1.641,7.383,0.000,0.000,800000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.364999,0.336,16.792,0,Hardware: Independent Flip,6.801,16.792,16.792,0.000,-1.679,7.557,0.000,0.000,810000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.381683,0.334,16.684,0,Hardware: Independent Flip,6.757,16.684,16.684,0.000,-1.668,7.508,0.000,0.000,820000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.398628,0.339,16.945,0,Hardware: Independent Flip,6.863,16.945,16.945,0.000,-1.694,7.625,0.000,0.000,830000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.415377,0.335,16.749,0,Hardware: Independent Flip,6.783,16.749,16.749,0.000,-1.675,7.537,0.000,0.000,840000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.432011,0.333,16.634,0,Hardware: Independent Flip,6.737,16.634,16.634,0.000,-1.663,7.485,0.000,0.000,850000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.448527,0.330,16.516,0,Hardware: Independent Flip,6.689,16.516,16.516,0.000,-1.652,7.432,0.000,0.000,860000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.465464,0.339,16.936,0,Hardware: Independent Flip,6.859,16.936,16.936,0.000,-1.694,7.621,0.000,0.000,870000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.482132,0.333,16.669,0,Hardware: Independent Flip,6.751,16.669,16.669,0.000,-1.667,7.501,0.000,0.000,880000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.498939,0.336,16.806,0,Hardware: Independent Flip,6.807,16.806,16.806,0.000,-1.681,7.563,0.000,0.000,890000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.515846,0.338,16.907,0,Hardware: Independent Flip,6.847,16.907,16.907,0.000,-1.691,7.608,0.000,0.000,900000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.532470,0.332,16.624,0,Hardware: Independent Flip,6.733,16.624,16.624,0.000,-1.662,7.481,0.000,0.000,910000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.549053,0.332,16.583,0,Hardware: Independent Flip,6.716,16.583,16.583,0.000,-1.658,7.463,0.000,0.000,920000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.565683,0.333,16.630,0,Hardware: Independent Flip,6.735,16.630,16.630,0.000,-1.663,7.483,0.000,0.000,930000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.582183,0.330,16.500,0,Hardware: Independent Flip,6.683,16.500,16.500,0.000,-1.650,7.425,0.000,0.000,940000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.598785,0.332,16.602,0,Hardware: Independent Flip,6.724,16.602,16.602,0.000,-1.660,7.471,0.000,0.000,950000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.615281,0.330,16.496,0,Hardware: Independent Flip,6.681,16.496,16.496,0.000,-1.650,7.423,0.000,0.000,960000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.632013,0.335,16.732,0,Hardware: Independent Flip,6.776,16.732,16.732,0.000,-1.673,7.529,0.000,0.000,970000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.648564,0.331,16.551,0,Hardware: Independent Flip,6.703,16.551,16.551,0.000,-1.655,7.448,0.000,0.000,980000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.665358,0.336,16.795,0,Hardware: Independent Flip,6.802,16.795,16.795,0.000,-1.679,7.558,0.000,0.000,990000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.681877,0.330,16.518,0,Hardware: Independent Flip,6.690,16.518,16.518,0.000,-1.652,7.433,0.000,0.000,1000000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.698433,0.331,16.556,0,Hardware: Independent Flip,6.705,16.556,16.556,0.000,-1.656,7.450,0.000,0.000,1010000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.715246,0.336,16.813,0,Hardware: Independent Flip,6.809,16.813,16.813,0.000,-1.681,7.566,0.000,0.000,1020000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.732102,0.337,16.856,0,Hardware: Independent Flip,6.827,16.856,16.856,0.000,-1.686,7.585,0.000,0.000,1030000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.748686,0.332,16.584,0,Hardware: Independent Flip,6.717,16.584,16.584,0.000,-1.658,7.463,0.000,0.000,1040000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.765056,0.327,16.370,0,Hardware: Independent Flip,6.630,16.370,16.370,0.000,-1.637,7.367,0.000,0.000,1050000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.781649,0.332,16.593,0,Hardware: Independent Flip,6.720,16.593,16.593,0.000,-1.659,7.467,0.000,0.000,1060000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.798195,0.331,16.545,0,Hardware: Independent Flip,6.701,16.545,16.545,0.000,-1.655,7.445,0.000,0.000,1070000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.814769,0.331,16.574,0,Hardware: Independent Flip,6.713,16.574,16.574,0.000,-1.657,7.458,0.000,0.000,1080000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.831418,0.333,16.649,0,Hardware: Independent Flip,6.743,16.649,16.649,0.000,-1.665,7.492,0.000,0.000,1090000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.848605,0.344,17.187,0,Hardware: Independent Flip,6.961,17.187,17.187,0.000,-1.719,7.734,0.000,0.000,1100000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.865202,0.332,16.597,0,Hardware: Independent Flip,6.722,16.597,16.597,0.000,-1.660,7.468,0.000,0.000,1110000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.881815,0.332,16.613,0,Hardware: Independent Flip,6.728,16.613,16.613,0.000,-1.661,7.476,0.000,0.000,1120000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.898544,0.335,16.729,0,Hardware: Independent Flip,6.775,16.729,16.729,0.000,-1.673,7.528,0.000,0.000,1130000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.915250,0.334,16.706,0,Hardware: Independent Flip,6.766,16.706,16.706,0.000,-1.671,7.518,0.000,0.000,1140000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.931921,0.333,16.671,0,Hardware: Independent Flip,6.752,16.671,16.671,0.000,-1.667,7.502,0.000,0.000,1150000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.948489,0.331,16.568,0,Hardware: Independent Flip,6.710,16.568,16.568,0.000,-1.657,7.456,0.000,0.000,1160000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.965057,0.331,16.568,0,Hardware: Independent Flip,6.710,16.568,16.568,0.000,-1.657,7.456,0.000,0.000,1170000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.981446,0.328,16.389,0,Hardware: Independent Flip,6.637,16.389,16.389,0.000,-1.639,7.375,0.000,0.000,1180000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,1.998359,0.338,16.914,0,Hardware: Independent Flip,6.850,16.914,16.914,0.000,-1.691,7.611,0.000,0.000,1190000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.014994,0.333,16.635,0,Hardware: Independent Flip,6.737,16.635,16.635,0.000,-1.663,7.486,0.000,0.000,1200000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.032015,0.340,17.020,0,Hardware: Independent Flip,6.893,17.020,17.020,0.000,-1.702,7.659,0.000,0.000,1210000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.048479,0.329,16.465,0,Hardware: Independent Flip,6.668,16.465,16.465,0.000,-1.646,7.409,0.000,0.000,1220000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.065142,0.333,16.663,0,Hardware: Independent Flip,6.749,16.663,16.663,0.000,-1.666,7.498,0.000,0.000,1230000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.081861,0.334,16.718,0,Hardware: Independent Flip,6.771,16.718,16.718,0.000,-1.672,7.523,0.000,0.000,1240000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.098541,0.334,16.680,0,Hardware: Independent Flip,6.756,16.680,16.680,0.000,-1.668,7.506,0.000,0.000,1250000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.115585,0.341,17.044,0,Hardware: Independent Flip,6.903,17.044,17.044,0.000,-1.704,7.670,0.000,0.000,1260000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.132342,0.335,16.757,0,Hardware: Independent Flip,6.787,16.757,16.757,0.000,-1.676,7.541,0.000,0.000,1270000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.148824,0.330,16.482,0,Hardware: Independent Flip,6.675,16.482,16.482,0.000,-1.648,7.417,0.000,0.000,1280000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.165402,0.332,16.577,0,Hardware: Independent Flip,6.714,16.577,16.577,0.000,-1.658,7.460,0.000,0.000,1290000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.181900,0.330,16.498,0,Hardware: Independent Flip,6.682,16.498,16.498,0.000,-1.650,7.424,0.000,0.000,1300000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.198524,0.332,16.624,0,Hardware: Independent Flip,6.733,16.624,16.624,0.000,-1.662,7.481,0.000,0.000,1310000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.215322,0.336,16.798,0,Hardware: Independent Flip,6.803,16.798,16.798,0.000,-1.680,7.559,0.000,0.000,1320000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.231846,0.330,16.524,0,Hardware: Independent Flip,6.692,16.524,16.524,0.000,-1.652,7.436,0.000,0.000,1330000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.248592,0.335,16.746,0,Hardware: Independent Flip,6.782,16.746,16.746,0.000,-1.675,7.536,0.000,0.000,1340000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.265394,0.336,16.802,0,Hardware: Independent Flip,6.805,16.802,16.802,0.000,-1.680,7.561,0.000,0.000,1350000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,2.281889,0.330,16.495,0,Hardware: Independent Flip,6.681,16.495,16.495,0.000,-1.650,7.423,0.000,0.000,1360000
