Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartQPC,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency,InstrumentedLatency
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,920000,16.5833,5.8042,10.7792,0.7463,7.4625,7.4625,9.1208,0.0000,33.7575,16.5833,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,930000,16.6300,5.8205,10.8095,0.7483,7.4835,7.4835,9.1465,0.0000,35.5896,16.6300,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,940000,16.5002,5.7751,10.7251,0.7425,7.4251,7.4251,9.0751,0.0000,32.0062,16.5002,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,950000,16.6017,5.8106,10.7911,0.7471,7.4708,7.4708,9.1309,0.0000,33.0534,16.6017,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,960000,16.4965,5.7738,10.7227,0.7423,7.4234,7.4234,9.0731,0.0000,34.2162,16.4965,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,970000,16.7319,5.8562,10.8757,0.7529,7.5293,7.5293,9.2025,0.0000,35.1734,16.7319,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,980000,16.5506,5.7927,10.7579,0.7448,7.4478,7.4478,9.1028,0.0000,33.9295,16.5506,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,990000,16.7945,5.8781,10.9165,0.7558,7.5575,7.5575,9.2370,0.0000,35.1048,16.7945,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,1000000,16.5183,5.7814,10.7369,0.7433,7.4332,7.4332,9.0851,0.0000,32.7078,16.5183,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,1010000,16.5562,5.7947,10.7615,0.7450,7.4503,7.4503,9.1059,0.0000,34.5073,16.5562,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,1020000,16.8134,5.8847,10.9287,0.7566,7.5660,7.5660,9.2474,0.0000,33.9418,16.8134,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,1030000,16.8557,5.8995,10.9562,0.7585,7.5851,7.5851,9.2706,0.0000,32.2691,16.8557,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,1040000,16.5840,5.8044,10.7796,0.7463,7.4628,7.4628,9.1212,0.0000,31.1842,16.5840,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,1050000,16.3702,5.7296,10.6406,0.7367,7.3666,7.3666,9.0036,0.0000,33.9130,16.3702,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,1060000,16.5932,5.8076,10.7856,0.7467,7.4670,7.4670,9.1263,0.0000,33.2858,16.5932,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,1070000,16.5452,5.7908,10.7544,0.7445,7.4454,7.4454,9.0999,0.0000,33.7533,16.5452,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,1080000,16.5741,5.8009,10.7732,0.7458,7.4584,7.4584,9.1158,0.0000,33.2395,16.5741,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,1090000,16.6489,5.8271,10.8218,0.7492,7.4920,7.4920,9.1569,0.0000,32.4429,16.6489,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,1100000,17.1874,6.0156,11.1718,0.7734,7.7343,7.7343,9.4531,0.0000,32.7386,17.1874,NA,NA,NA,NA,NA,NA
