frame_index,timestamp_seconds,frame_time_ms,fps
137,2.298582,16.693,59.91
138,2.315112,16.530,60.50
139,2.331840,16.728,59.78
140,2.348348,16.508,60.58
141,2.365112,16.764,59.65
142,2.381500,16.388,61.02
143,2.398049,16.549,60.43
144,2.414549,16.501,60.60
145,2.431263,16.714,59.83
146,2.447668,16.405,60.96
147,2.464322,16.654,60.04
148,2.480827,16.505,60.59
149,2.497495,16.668,59.99
150,2.514253,16.758,59.67
151,2.530843,16.590,60.28
152,2.547398,16.555,60.40
153,2.563957,16.558,60.39
154,2.580723,16.766,59.64
155,2.597365,16.642,60.09
156,2.614330,16.965,58.94
157,2.630782,16.452,60.78
158,2.647535,16.753,59.69
159,2.664341,16.806,59.50
160,2.680826,16.486,60.66
161,2.697289,16.463,60.74
162,2.713946,16.657,60.04
163,2.731163,17.217,58.08
164,2.747995,16.832,59.41
165,2.764683,16.688,59.92
166,2.781540,16.858,59.32
167,2.798352,16.811,59.48
168,2.815183,16.831,59.41
169,2.831845,16.662,60.02
170,2.848441,16.596,60.26
171,2.865076,16.635,60.11
172,2.881684,16.608,60.21
173,2.898259,16.575,60.33
174,2.914843,16.584,60.30
175,2.931354,16.511,60.57
176,2.948061,16.707,59.86
177,2.964854,16.793,59.55
178,2.981589,16.735,59.76
179,2.998231,16.642,60.09
180,3.014542,16.310,61.31
181,3.031195,16.653,60.05
182,3.047957,16.763,59.66
183,3.064602,16.644,60.08
184,3.081205,16.604,60.23
185,3.097815,16.610,60.20
186,3.114399,16.584,60.30
187,3.130956,16.557,60.40
188,3.147475,16.519,60.53
189,3.164366,16.890,59.21
190,3.180784,16.418,60.91
191,3.197710,16.927,59.08
192,3.214352,16.642,60.09
193,3.230927,16.574,60.33
194,3.247820,16.894,59.19
195,3.264602,16.782,59.59
196,3.281364,16.762,59.66
197,3.297953,16.588,60.28
198,3.314646,16.694,59.90
199,3.331194,16.547,60.43
200,3.347973,16.780,59.60
201,3.364709,16.736,59.75
202,3.381326,16.616,60.18
203,3.397966,16.640,60.09
204,3.414578,16.612,60.20
205,3.431258,16.680,59.95
206,3.448205,16.947,59.01
207,3.464752,16.547,60.43
208,3.481483,16.731,59.77
209,3.498264,16.781,59.59
210,3.515283,17.019,58.76
211,3.531916,16.633,60.12
212,3.548632,16.716,59.82
213,3.565145,16.514,60.56
214,3.581863,16.718,59.82
215,3.598514,16.651,60.06
216,3.615147,16.634,60.12
217,3.631766,16.619,60.17
218,3.648399,16.632,60.12
219,3.665156,16.757,59.68
220,3.681468,16.312,61.30
221,3.698318,16.850,59.35
222,3.715110,16.792,59.55
223,3.731505,16.395,60.99
224,3.748305,16.800,59.52
225,3.764869,16.564,60.37
226,3.781300,16.431,60.86
227,3.797847,16.547,60.44
228,3.814815,16.968,58.93
229,3.831369,16.554,60.41
230,3.848141,16.772,59.62
231,3.864914,16.773,59.62
232,3.881630,16.716,59.82
233,3.898147,16.517,60.54
234,3.914717,16.570,60.35
235,3.931396,16.680,59.95
236,3.948267,16.870,59.28
237,3.964768,16.501,60.60
238,3.981525,16.757,59.68
239,3.998394,16.869,59.28
240,4.015283,16.889,59.21
241,4.031933,16.650,60.06
242,4.048525,16.592,60.27
243,4.065167,16.642,60.09
244,4.081595,16.428,60.87
245,4.098184,16.589,60.28
246,4.114504,16.320,61.28
247,4.131261,16.757,59.68
248,4.147994,16.734,59.76
249,4.164701,16.707,59.86
250,4.181533,16.832,59.41
251,4.197863,16.330,61.24
252,4.214173,16.310,61.31
253,4.230786,16.613,60.19
254,4.247322,16.537,60.47
255,4.263902,16.579,60.32
256,4.280618,16.717,59.82
257,4.297146,16.528,60.50
258,4.313754,16.608,60.21
259,4.330681,16.927,59.08
260,4.347035,16.354,61.15
261,4.363668,16.634,60.12
262,4.380352,16.684,59.94
263,4.397276,16.923,59.09
264,4.413931,16.656,60.04
265,4.430805,16.873,59.27
266,4.447573,16.768,59.64
267,4.464442,16.869,59.28
268,4.481125,16.683,59.94
269,4.498061,16.936,59.05
270,4.514481,16.420,60.90
271,4.530984,16.503,60.60
272,4.547508,16.524,60.52
273,4.564108,16.600,60.24
274,4.580783,16.675,59.97
275,4.597596,16.813,59.48
276,4.614292,16.697,59.89
277,4.630912,16.620,60.17
278,4.647526,16.614,60.19
279,4.664084,16.558,60.39
280,4.680663,16.580,60.32
281,4.696935,16.272,61.46
282,4.713733,16.798,59.53
283,4.730652,16.919,59.11
284,4.747425,16.773,59.62
285,4.764001,16.577,60.33
286,4.780708,16.706,59.86
287,4.797384,16.677,59.96
288,4.813933,16.549,60.43
289,4.830541,16.608,60.21
290,4.847323,16.782,59.59
291,4.864027,16.705,59.86
292,4.880666,16.639,60.10
293,4.897172,16.505,60.59
294,4.913829,16.657,60.03
295,4.930467,16.638,60.10
296,4.947133,16.666,60.00
297,4.963827,16.694,59.90
298,4.980629,16.802,59.52
299,4.997135,16.507,60.58
300,5.013656,16.520,60.53
301,5.030346,16.690,59.92
302,5.047086,16.740,59.74
303,5.063833,16.746,59.71
304,5.080457,16.624,60.15
305,5.097037,16.580,60.31
306,5.113576,16.539,60.46
307,5.130437,16.861,59.31
308,5.146858,16.421,60.90
309,5.163609,16.751,59.70
310,5.180119,16.510,60.57
311,5.196644,16.524,60.52
312,5.213057,16.413,60.93
313,5.229429,16.372,61.08
314,5.245937,16.508,60.58
315,5.262541,16.604,60.23
316,5.279061,16.521,60.53
317,5.295686,16.625,60.15
318,5.312446,16.759,59.67
319,5.329153,16.708,59.85
320,5.345909,16.756,59.68
321,5.362371,16.462,60.75
322,5.379037,16.666,60.00
323,5.395826,16.789,59.56
324,5.412580,16.754,59.69
325,5.429184,16.603,60.23
326,5.445959,16.776,59.61
327,5.462758,16.798,59.53
328,5.479485,16.727,59.78
329,5.496053,16.569,60.35
330,5.512523,16.469,60.72
331,5.529188,16.665,60.00
332,5.546033,16.845,59.37
333,5.562785,16.753,59.69
334,5.579410,16.625,60.15
335,5.596108,16.698,59.89
336,5.612658,16.549,60.43
337,5.629050,16.393,61.00
338,5.645759,16.709,59.85
339,5.662150,16.391,61.01
340,5.678684,16.534,60.48
341,5.695171,16.487,60.65
342,5.711696,16.525,60.52
343,5.728239,16.543,60.45
344,5.745020,16.781,59.59
345,5.761930,16.911,59.13
346,5.778204,16.274,61.45
347,5.795110,16.906,59.15
348,5.812019,16.909,59.14
349,5.828699,16.679,59.95
350,5.845564,16.865,59.29
351,5.862167,16.604,60.23
352,5.878981,16.813,59.48
353,5.895510,16.530,60.50
354,5.912226,16.716,59.82
355,5.928729,16.503,60.59
356,5.945459,16.730,59.77
357,5.962048,16.589,60.28
358,5.978566,16.518,60.54
359,5.995420,16.854,59.33
360,6.012234,16.814,59.47
361,6.028713,16.479,60.68
362,6.045328,16.616,60.18
363,6.061988,16.660,60.03
364,6.078551,16.563,60.37
365,6.095101,16.550,60.42
366,6.111684,16.583,60.30
367,6.128409,16.725,59.79
368,6.145046,16.637,60.11
369,6.161835,16.789,59.56
370,6.178465,16.630,60.13
371,6.194954,16.489,60.65
372,6.211595,16.641,60.09
373,6.228055,16.460,60.75
374,6.244644,16.589,60.28
375,6.261038,16.394,61.00
376,6.277494,16.456,60.77
377,6.294324,16.830,59.42
378,6.311202,16.879,59.25
379,6.327897,16.695,59.90
380,6.344542,16.645,60.08
381,6.361546,17.004,58.81
382,6.378108,16.562,60.38
383,6.394950,16.841,59.38
384,6.411605,16.655,60.04
385,6.428316,16.711,59.84
386,6.444913,16.597,60.25
387,6.461585,16.672,59.98
388,6.478213,16.628,60.14
389,6.495138,16.926,59.08
390,6.511571,16.433,60.85
391,6.528076,16.505,60.59
392,6.544585,16.509,60.57
393,6.561217,16.631,60.13
394,6.577687,16.470,60.72
395,6.594232,16.546,60.44
396,6.610812,16.579,60.32
397,6.627571,16.760,59.67
398,6.644029,16.457,60.76
399,6.660687,16.659,60.03
400,6.677143,16.456,60.77
401,6.693715,16.573,60.34
402,6.710079,16.364,61.11
403,6.726552,16.473,60.71
404,6.743089,16.538,60.47
405,6.759645,16.556,60.40
406,6.776581,16.935,59.05
407,6.793022,16.442,60.82
408,6.809502,16.479,60.68
409,6.826135,16.634,60.12
410,6.842651,16.516,60.55
411,6.858931,16.280,61.42
412,6.875321,16.389,61.02
413,6.891956,16.635,60.11
414,6.908506,16.549,60.42
415,6.925254,16.749,59.71
416,6.941788,16.534,60.48
417,6.958660,16.872,59.27
418,6.975446,16.786,59.57
419,6.992128,16.682,59.94
420,7.008934,16.807,59.50
421,7.025813,16.878,59.25
422,7.042429,16.616,60.18
423,7.059351,16.923,59.09
424,7.075961,16.609,60.21
425,7.092743,16.783,59.59
426,7.109296,16.553,60.41
427,7.126044,16.748,59.71
428,7.142437,16.393,61.00
429,7.159269,16.832,59.41
430,7.175969,16.700,59.88
431,7.192562,16.592,60.27
432,7.209071,16.509,60.57
433,7.225864,16.793,59.55
434,7.242549,16.685,59.94
435,7.259218,16.669,59.99
436,7.275763,16.546,60.44
437,7.292482,16.718,59.82
438,7.309318,16.836,59.40
439,7.325935,16.617,60.18
440,7.342576,16.642,60.09
441,7.359029,16.452,60.78
442,7.375830,16.801,59.52
443,7.392442,16.612,60.20
444,7.409196,16.754,59.69
445,7.425675,16.479,60.68
446,7.442458,16.783,59.58
447,7.459176,16.719,59.81
448,7.475713,16.537,60.47
449,7.492350,16.636,60.11
450,7.508980,16.630,60.13
451,7.525528,16.548,60.43
452,7.542107,16.578,60.32
453,7.558834,16.727,59.78
454,7.575608,16.775,59.61
455,7.592518,16.910,59.14
456,7.609373,16.855,59.33
457,7.625832,16.459,60.76
458,7.642142,16.310,61.31
459,7.658649,16.508,60.58
460,7.675418,16.768,59.64
461,7.691982,16.564,60.37
462,7.708922,16.940,59.03
463,7.725485,16.564,60.37
464,7.742170,16.684,59.94
465,7.758866,16.697,59.89
466,7.775416,16.550,60.42
467,7.792159,16.743,59.73
468,7.808873,16.714,59.83
469,7.825837,16.965,58.95
470,7.842417,16.580,60.31
471,7.859306,16.889,59.21
472,7.875980,16.674,59.97
473,7.892501,16.521,60.53
474,7.909401,16.899,59.17
475,7.926155,16.754,59.69
476,7.942782,16.628,60.14
477,7.959455,16.673,59.98
478,7.976091,16.635,60.11
479,7.992761,16.670,59.99
480,8.009499,16.738,59.74
481,8.026290,16.791,59.55
482,8.042821,16.531,60.49
483,8.059341,16.520,60.53
484,8.076071,16.730,59.77
485,8.092595,16.524,60.52
486,8.109427,16.832,59.41
487,8.125911,16.484,60.67
488,8.142630,16.720,59.81
489,8.159272,16.642,60.09
490,8.176021,16.748,59.71
491,8.192509,16.489,60.65
492,8.209293,16.784,59.58
493,8.226018,16.725,59.79
494,8.242728,16.710,59.84
495,8.259354,16.626,60.15
496,8.276003,16.649,60.07
497,8.292611,16.608,60.21
498,8.309275,16.665,60.01
499,8.325909,16.634,60.12
500,8.342546,16.637,60.11
501,8.359558,17.012,58.78
502,8.376182,16.624,60.15
503,8.392822,16.640,60.09
504,8.409415,16.593,60.27
505,8.426207,16.792,59.55
506,8.443051,16.844,59.37
507,8.459836,16.785,59.58
508,8.476534,16.697,59.89
509,8.493189,16.655,60.04
510,8.509807,16.618,60.18
511,8.526338,16.531,60.49
512,8.542812,16.474,60.70
513,8.559543,16.732,59.77
514,8.576242,16.699,59.88
515,8.592836,16.594,60.26
516,8.609445,16.609,60.21
517,8.626017,16.571,60.34
518,8.642571,16.554,60.41
519,8.659322,16.751,59.70
520,8.676078,16.756,59.68
521,8.693030,16.952,58.99
522,8.709959,16.929,59.07
523,8.726544,16.585,60.30
524,8.743313,16.770,59.63
525,8.759989,16.676,59.97
526,8.776764,16.775,59.61
527,8.793369,16.605,60.22
528,8.810124,16.755,59.68
529,8.826603,16.479,60.68
530,8.843364,16.761,59.66
531,8.859930,16.566,60.36
532,8.876794,16.864,59.30
533,8.893397,16.603,60.23
534,8.909984,16.587,60.29
535,8.926642,16.658,60.03
536,8.943370,16.728,59.78
537,8.960141,16.771,59.63
538,8.976576,16.435,60.85
539,8.993301,16.725,59.79
540,9.009720,16.419,60.91
541,9.026367,16.647,60.07
542,9.042843,16.476,60.70
543,9.059571,16.728,59.78
544,9.076389,16.819,59.46
545,9.093244,16.855,59.33
546,9.109951,16.707,59.86
547,9.126587,16.636,60.11
548,9.143164,16.577,60.33
549,9.160049,16.885,59.22
550,9.176913,16.864,59.30
551,9.193450,16.537,60.47
552,9.209988,16.538,60.47
553,9.226825,16.838,59.39
554,9.243340,16.515,60.55
555,9.260188,16.848,59.36
556,9.276831,16.643,60.09
557,9.293536,16.705,59.86
558,9.310349,16.812,59.48
559,9.327106,16.758,59.67
560,9.343559,16.453,60.78
561,9.360102,16.543,60.45
562,9.376683,16.580,60.31
563,9.393398,16.715,59.83
564,9.409840,16.442,60.82
565,9.426695,16.855,59.33
566,9.443535,16.840,59.38
567,9.460113,16.578,60.32
568,9.476635,16.522,60.53
569,9.493137,16.503,60.60
570,9.509784,16.647,60.07
571,9.526398,16.613,60.19
572,9.543011,16.614,60.19
573,9.559684,16.673,59.98
574,9.576184,16.500,60.61
575,9.592528,16.344,61.18
576,9.609026,16.497,60.62
577,9.625513,16.488,60.65
578,9.642221,16.708,59.85
579,9.658584,16.363,61.11
580,9.675240,16.657,60.04
581,9.692042,16.802,59.52
582,9.708740,16.698,59.89
583,9.725419,16.678,59.96
584,9.741788,16.369,61.09
585,9.758208,16.420,60.90
586,9.775242,17.034,58.71
587,9.791952,16.710,59.84
588,9.808847,16.894,59.19
589,9.825627,16.781,59.59
590,9.842303,16.676,59.97
591,9.858949,16.646,60.07
592,9.875678,16.729,59.78
593,9.892128,16.450,60.79
594,9.908601,16.473,60.71
595,9.925037,16.436,60.84
596,9.941732,16.695,59.90
597,9.958498,16.767,59.64
598,9.975380,16.882,59.23
599,9.991811,16.430,60.86
600,10.008393,16.583,60.30
601,10.025112,16.719,59.81
602,10.041792,16.680,59.95
603,10.058548,16.756,59.68
604,10.075483,16.936,59.05
605,10.092048,16.565,60.37
606,10.108719,16.671,59.99
607,10.125602,16.883,59.23
608,10.142295,16.694,59.90
609,10.159247,16.952,58.99
610,10.175971,16.724,59.79
611,10.192722,16.751,59.70
612,10.209212,16.490,60.64
613,10.226007,16.795,59.54
614,10.242576,16.569,60.35
615,10.259187,16.611,60.20
616,10.275769,16.581,60.31
617,10.292418,16.650,60.06
618,10.309045,16.627,60.14
619,10.325731,16.686,59.93
620,10.342681,16.950,59.00
621,10.359526,16.845,59.37
622,10.376500,16.974,58.91
623,10.393334,16.835,59.40
624,10.409620,16.286,61.40
625,10.426237,16.616,60.18
626,10.443102,16.865,59.29
627,10.459743,16.641,60.09
628,10.476662,16.919,59.11
629,10.493278,16.617,60.18
630,10.509818,16.539,60.46
631,10.526389,16.571,60.35
632,10.542925,16.537,60.47
633,10.559574,16.648,60.07
634,10.576339,16.765,59.65
635,10.593032,16.693,59.91
636,10.609550,16.519,60.54
637,10.626297,16.746,59.71
638,10.642780,16.484,60.67
639,10.659382,16.602,60.24
640,10.676232,16.850,59.35
641,10.692917,16.685,59.93
642,10.709595,16.678,59.96
643,10.726245,16.650,60.06
644,10.742919,16.674,59.97
645,10.759661,16.741,59.73
646,10.776435,16.774,59.62
647,10.793244,16.809,59.49
648,10.810106,16.862,59.31
649,10.827008,16.902,59.16
650,10.843649,16.641,60.09
651,10.860263,16.614,60.19
652,10.877103,16.840,59.38
653,10.893687,16.584,60.30
654,10.910367,16.680,59.95
655,10.927067,16.701,59.88
656,10.944048,16.981,58.89
657,10.960855,16.806,59.50
658,10.977486,16.631,60.13
659,10.994230,16.744,59.72
660,11.010565,16.336,61.22
661,11.027230,16.665,60.01
662,11.043964,16.734,59.76
663,11.060589,16.625,60.15
664,11.077156,16.567,60.36
665,11.093503,16.347,61.17
666,11.110131,16.627,60.14
667,11.127131,17.000,58.82
668,11.143952,16.821,59.45
669,11.160629,16.677,59.96
670,11.177421,16.792,59.55
671,11.194370,16.949,59.00
672,11.210957,16.586,60.29
673,11.227709,16.753,59.69
674,11.244302,16.592,60.27
675,11.261101,16.800,59.52
676,11.277817,16.715,59.83
677,11.294623,16.806,59.50
678,11.311224,16.601,60.24
679,11.327858,16.634,60.12
680,11.344475,16.618,60.18
681,11.361161,16.685,59.93
682,11.377860,16.699,59.88
683,11.394520,16.660,60.02
684,11.411317,16.797,59.53
685,11.427842,16.525,60.51
686,11.444548,16.706,59.86
687,11.461424,16.876,59.26
688,11.477908,16.484,60.66
689,11.494485,16.577,60.33
690,11.511138,16.653,60.05
691,11.527858,16.721,59.81
692,11.544593,16.734,59.76
693,11.561212,16.619,60.17
694,11.577884,16.672,59.98
695,11.594518,16.634,60.12
696,11.611164,16.646,60.08
697,11.627875,16.712,59.84
698,11.644696,16.821,59.45
699,11.661203,16.506,60.58
700,11.677838,16.636,60.11
701,11.694640,16.801,59.52
702,11.711437,16.797,59.53
703,11.728074,16.637,60.11
704,11.744711,16.637,60.11
705,11.761320,16.608,60.21
706,11.778111,16.792,59.55
707,11.794713,16.602,60.23
708,11.811484,16.770,59.63
709,11.828076,16.592,60.27
710,11.844857,16.781,59.59
711,11.861337,16.480,60.68
712,11.877940,16.602,60.23
713,11.894680,16.741,59.74
714,11.911555,16.875,59.26
715,11.928358,16.803,59.51
716,11.944823,16.465,60.74
717,11.961379,16.556,60.40
718,11.978228,16.849,59.35
719,11.994713,16.485,60.66
720,12.011504,16.792,59.55
721,12.028238,16.734,59.76
722,12.044896,16.658,60.03
723,12.061491,16.596,60.26
724,12.078201,16.710,59.85
725,12.094884,16.683,59.94
726,12.111536,16.651,60.05
727,12.128039,16.504,60.59
728,12.144758,16.718,59.81
729,12.161478,16.720,59.81
730,12.178061,16.582,60.30
731,12.194523,16.463,60.74
732,12.211293,16.770,59.63
733,12.228056,16.763,59.66
734,12.244761,16.705,59.86
735,12.261372,16.611,60.20
736,12.277615,16.242,61.57
737,12.294445,16.830,59.42
738,12.311020,16.575,60.33
739,12.327785,16.765,59.65
740,12.344456,16.671,59.98
741,12.361138,16.681,59.95
742,12.377758,16.620,60.17
743,12.394371,16.613,60.19
744,12.411140,16.769,59.63
745,12.427744,16.605,60.22
746,12.444427,16.683,59.94
747,12.461076,16.649,60.06
748,12.478086,17.010,58.79
749,12.494450,16.364,61.11
750,12.511074,16.624,60.15
751,12.527628,16.554,60.41
752,12.544626,16.997,58.83
753,12.561422,16.796,59.54
754,12.578135,16.713,59.83
755,12.594748,16.613,60.19
756,12.611484,16.736,59.75
757,12.628384,16.900,59.17
758,12.645073,16.689,59.92
759,12.661747,16.674,59.97
760,12.678347,16.600,60.24
761,12.695101,16.754,59.69
762,12.711774,16.673,59.98
763,12.728338,16.564,60.37
764,12.745120,16.782,59.59
765,12.761835,16.716,59.82
766,12.778847,17.011,58.78
767,12.795644,16.797,59.53
768,12.812010,16.366,61.10
769,12.828519,16.509,60.57
770,12.845372,16.852,59.34
771,12.861953,16.581,60.31
772,12.878640,16.688,59.92
773,12.895308,16.667,60.00
774,12.912114,16.806,59.50
775,12.928846,16.732,59.77
776,12.945714,16.869,59.28
777,12.962367,16.653,60.05
778,12.979103,16.736,59.75
779,12.995875,16.772,59.62
780,13.012620,16.744,59.72
781,13.029472,16.853,59.34
782,13.046395,16.923,59.09
783,13.062925,16.530,60.50
784,13.079552,16.627,60.14
785,13.096227,16.675,59.97
786,13.112710,16.483,60.67
787,13.129340,16.630,60.13
788,13.145690,16.350,61.16
789,13.162217,16.527,60.51
790,13.179003,16.786,59.57
791,13.195662,16.659,60.03
792,13.212345,16.684,59.94
793,13.229030,16.684,59.94
794,13.245846,16.816,59.47
795,13.262533,16.688,59.92
796,13.279438,16.904,59.16
797,13.296111,16.673,59.98
798,13.312816,16.705,59.86
799,13.329334,16.518,60.54
800,13.346027,16.694,59.90
801,13.362511,16.483,60.67
802,13.379098,16.587,60.29
803,13.395705,16.607,60.22
804,13.412162,16.458,60.76
805,13.428769,16.606,60.22
806,13.445211,16.442,60.82
807,13.461649,16.439,60.83
808,13.478100,16.450,60.79
809,13.494913,16.813,59.48
810,13.511486,16.573,60.34
811,13.527973,16.487,60.65
812,13.544751,16.778,59.60
813,13.561476,16.725,59.79
814,13.578004,16.528,60.51
815,13.594927,16.923,59.09
816,13.611274,16.348,61.17
817,13.628185,16.911,59.13
818,13.644912,16.727,59.78
819,13.661395,16.483,60.67
820,13.678130,16.736,59.75
821,13.694460,16.330,61.24
822,13.710867,16.406,60.95
823,13.727891,17.025,58.74
824,13.744574,16.682,59.94
825,13.760885,16.312,61.31
826,13.777615,16.730,59.77
827,13.794422,16.807,59.50
828,13.811157,16.736,59.75
829,13.828080,16.922,59.09
830,13.844643,16.563,60.38
831,13.861292,16.649,60.06
832,13.877887,16.595,60.26
833,13.894534,16.647,60.07
834,13.911076,16.542,60.45
835,13.927657,16.582,60.31
836,13.944083,16.426,60.88
837,13.960672,16.589,60.28
838,13.977497,16.825,59.44
839,13.994405,16.908,59.14
840,14.011240,16.835,59.40
841,14.027969,16.728,59.78
842,14.045027,17.059,58.62
843,14.061616,16.589,60.28
844,14.078245,16.628,60.14
845,14.094585,16.340,61.20
846,14.111185,16.600,60.24
847,14.127755,16.570,60.35
848,14.144591,16.836,59.40
849,14.161481,16.890,59.21
850,14.178019,16.538,60.47
851,14.194549,16.530,60.50
852,14.211346,16.797,59.53
853,14.228081,16.734,59.76
854,14.244588,16.507,60.58
855,14.261321,16.734,59.76
856,14.277685,16.363,61.11
857,14.294293,16.608,60.21
858,14.311087,16.794,59.54
859,14.327832,16.744,59.72
860,14.344495,16.663,60.01
861,14.361046,16.551,60.42
862,14.377736,16.690,59.91
863,14.394495,16.758,59.67
864,14.411209,16.715,59.83
865,14.427657,16.448,60.80
866,14.444505,16.848,59.35
867,14.461031,16.525,60.51
868,14.477665,16.634,60.12
869,14.494408,16.743,59.73
870,14.510968,16.560,60.39
871,14.527436,16.468,60.73
872,14.543917,16.481,60.68
873,14.560561,16.644,60.08
874,14.577294,16.733,59.76
875,14.593999,16.705,59.86
876,14.610659,16.661,60.02
877,14.627407,16.748,59.71
878,14.644080,16.672,59.98
879,14.660395,16.315,61.29
880,14.677130,16.735,59.75
881,14.693565,16.435,60.84
882,14.710416,16.851,59.34
883,14.726843,16.427,60.87
884,14.743531,16.688,59.92
885,14.760159,16.628,60.14
886,14.776882,16.723,59.80
887,14.793494,16.613,60.19
888,14.810205,16.711,59.84
889,14.826659,16.454,60.78
890,14.843231,16.572,60.34
891,14.859765,16.534,60.48
892,14.876797,17.032,58.71
893,14.893733,16.936,59.05
894,14.910233,16.500,60.61
895,14.926975,16.742,59.73
896,14.943796,16.821,59.45
897,14.960310,16.514,60.55
898,14.977136,16.826,59.43
899,14.993933,16.797,59.53
900,15.010506,16.572,60.34
901,15.027254,16.749,59.71
902,15.044142,16.888,59.21
903,15.060861,16.719,59.81
904,15.077656,16.795,59.54
905,15.094327,16.671,59.98
906,15.111000,16.672,59.98
907,15.127820,16.820,59.45
908,15.144529,16.709,59.85
909,15.161053,16.525,60.51
910,15.177828,16.775,59.61
911,15.194308,16.480,60.68
912,15.210923,16.615,60.19
913,15.227695,16.772,59.62
914,15.244391,16.697,59.89
915,15.261030,16.639,60.10
916,15.277969,16.939,59.04
917,15.294573,16.604,60.23
918,15.311243,16.671,59.99
919,15.327884,16.641,60.09
920,15.344412,16.528,60.50
921,15.360946,16.534,60.48
922,15.377579,16.633,60.12
923,15.394666,17.086,58.53
924,15.411465,16.799,59.53
925,15.428029,16.564,60.37
926,15.444720,16.691,59.91
927,15.461449,16.730,59.77
928,15.477945,16.495,60.62
929,15.494784,16.839,59.38
